Time,Position X,Position Y,Position Z,Synchronization Error Norm
0.01,-17.0,45.0,0.0,318.47513387706533
0.02,-17.165649618910138,44.72983848702952,0.0,317.0388145268562
0.03,-17.330408636596236,44.46081442410653,0.0,315.60871981201234
0.04,-17.494281320049343,44.19292320474957,0.0,314.18491541511656
0.05,-17.65727209695028,43.92616024333929,0.0,312.76742992461044
0.06,-17.81938548530827,43.660520974993084,0.0,311.3562481591076
0.07,-17.980626010059147,43.39600085543429,0.0,309.95131928544714
0.08,-18.14099813481801,43.13259536085711,0.0,308.55257305027874
0.09,-18.300506224379713,42.87029998779195,0.0,307.1599359077493
0.1,-18.45915453793124,42.60911025297755,0.0,305.7733416837847
0.11,-18.61694724267666,42.349021693246094,0.0,304.3927356496303
0.12,-18.773888435353122,42.090029865426196,0.0,303.018073815713
0.13,-18.92998216251394,41.83213034626624,0.0,301.6493200717837
0.14,-19.08523243543827,41.57531873237796,0.0,300.28644315561303
0.15,-19.239643239306535,41.319590640197276,0.0,298.9294143821601
0.16,-19.393218538066126,41.06494170595677,0.0,297.5782062780967
0.17,-19.54596227669566,40.811367585662126,0.0,296.2327919028524
0.18,-19.69787838216197,40.558863955063444,0.0,294.8931445737019
0.19,-19.848970763825644,40.307426509611375,0.0,293.55923777945657
0.2,-19.99924331363947,40.05705096438794,0.0,292.2310451568403
0.21,-20.148699906243728,39.8077330540024,0.0,290.90854047315565
0.22,-20.297344398955847,39.55946853244363,0.0,289.59169760165463
0.23,-20.445180631628265,39.31225317288226,0.0,288.2804904970785
0.24,-20.592212426365283,39.06608276741712,0.0,286.9748931846821
0.25,-20.738443587118482,38.82095312676283,0.0,285.6748797726426
0.26,-20.883877899202062,38.57686007987635,0.0,284.3804244903101
0.27,-21.028519128777184,38.33379947352246,0.0,283.09150174731445
0.28,-21.1723710223481,38.09176717177958,0.0,281.80808620326934
0.29,-21.31543730629737,37.85075905549003,0.0,280.5301528347466
0.3,-21.45772168646891,37.61077102166325,0.0,279.25767698363666
0.31,-21.59922784778979,37.371798982848,0.0,277.9906343662284
0.32,-21.739959453907126,37.13383886650526,0.0,276.729001013197
0.33,-21.879920146809255,36.89688661444376,0.0,275.47275310174007
0.34,-22.019113546416715,36.66093818243498,0.0,274.2218666657754
0.35000000000000003,-22.15754325021612,36.42598954019295,0.0,272.9763173253313
0.36,-22.295212833231947,36.19203667187085,0.0,271.7360804926938
0.37,-22.432125848850117,35.959075576823345,0.0,270.5011324083119
0.38,-22.5682858306178,35.72710226974019,0.0,269.27145126514165
0.39,-22.703696294160654,35.496112779537775,0.0,268.04701737501125
0.4,-22.838360738325377,35.26610314759551,0.0,266.8278126110619
0.41000000000000003,-22.972282645590454,35.03706942620728,0.0,265.6138198406162
0.42,-23.105465482194237,34.80900767752598,0.0,264.4050225852802
0.43,-23.237912698259247,34.581913972901724,0.0,263.2014048468771
0.44,-23.36962772799421,34.35578439246857,0.0,262.0029510131595
0.45,-23.500613989970418,34.130615024884534,0.0,260.80964579580996
0.46,-23.630874887448122,33.90640196717245,0.0,259.6214741810934
0.47000000000000003,-23.760413808729812,33.68314132463325,0.0,258.4384213865761
0.48,-23.889234127523437,33.46082921081431,0.0,257.2604728222115
0.49,-24.017339203304065,33.239461747521005,0.0,256.08761405541594
0.5,-24.144732381666515,33.01903506486235,0.0,254.91983077985685
0.51,-24.271416994664015,32.7995453013235,0.0,253.7571087875384
0.52,-24.397396361129495,32.580988603859225,0.0,252.59943394373428
0.53,-24.52267378697715,32.36336112800387,0.0,251.44679216440989
0.54,-24.64725256548273,32.1466590379938,0.0,250.29916939591521
