Time,Position X,Position Y,Position Z,Synchronization Error Norm
0.01,30.0,-4.0,0.0,327.8709049642458
0.02,19.053840929714873,93.75067607708417,0.0,187.18658170234855
0.03,16.161997283586704,37.66994768604451,0.0,121.14751586752409
0.04,31.40593431473149,70.66437231423383,0.0,88.53245691312874
0.05,22.015565914862417,45.82144477219836,0.0,71.76483650629979
0.06,34.12651850475121,63.623528510669324,0.0,55.32989424410367
0.07,26.76731785315798,48.74672780716054,0.0,49.40414729227146
0.08,35.34967664308542,60.83236842885454,0.0,38.91733602432199
0.09,29.941905570993598,50.48677486811337,0.0,36.35549544491518
0.1,36.13584504211083,59.46601024145187,0.0,28.77010688500789
0.11,32.088330386191,51.84457258428972,0.0,27.596983375976087
0.12,36.67811143248362,58.736936510854314,0.0,21.730097889227373
0.13,33.5878130124268,52.9986399558001,0.0,21.26629243957607
0.14,37.05026592007703,58.359162211951244,0.0,16.561910017580956
0.15,34.66205333025728,54.003935021555606,0.0,16.519101695716227
0.16,37.300533141706744,58.20079930255001,0.0,12.662543060698717
0.17,35.44277196941103,54.889057197999314,0.0,12.895244740594954
0.18,37.4634890050384,58.18979911141784,0.0,9.68134928469369
0.19,36.012905609267705,55.67537247261637,0.0,10.104801083062505
0.2,37.563484858373386,58.28207186835583,0.0,7.388036180647003
0.21,36.42769131543654,56.38063508069859,0.0,7.94685329288931
0.22,37.617377398844766,58.44842917029066,0.0,5.619553683875245
0.23,36.725560566653364,57.019653463623754,0.0,6.274338765444164
0.24,37.63677597032738,58.668438076975335,0.0,4.2554793759283704
0.25,36.93408890702067,57.60454619025046,0.0,4.976471722556681
0.26,37.629699983458586,58.927217642192545,0.0,3.2049187246253004
0.27,37.07347694429694,58.14503332415831,0.0,3.9685863828467043
0.28,37.601726138234454,59.213624094673335,0.0,2.3986254226277093
0.29,37.158726992620316,58.64877983553313,0.0,3.185526345396512
0.3,37.556761967038355,59.51914533863327,0.0,1.7838190796944684
0.31,37.20108255584956,59.12174569273462,0.0,2.576978802322983
0.32,37.4975649578062,59.83718414647294,0.0,1.3205966535188087
0.33,37.20902221635123,59.56850868284848,0.0,2.1040201037924318
0.34,37.426093186118266,60.16256908648275,0.0,0.9793446021604519
0.35000000000000003,37.18896755401546,59.99254414418321,0.0,1.7364916833560358
0.36,37.34374480584836,60.49120752728755,0.0,0.7385522499463685
0.37,37.14579838700255,60.39645812673986,0.0,1.4509821058202432
0.38,37.25152361339237,60.81983234249978,0.0,0.5819471696594012
0.39,37.08323331350514,60.782176994835545,0.0,1.2292698906533481
0.4,37.15015475394457,61.14581330601372,0.0,0.49388058361195886
0.41000000000000003,37.00411354810339,61.1510991814809,0.0,1.0571264960792235
0.42,37.040166290640705,61.467014756450695,0.0,0.4553070538736331
0.43,36.91061602777991,61.5042154122911,0.0,0.9234053605134037
0.44,36.92194707316361,61.78168722233897,0.0,0.4458304417711338
0.45,36.80441412313478,61.84220332570492,0.0,0.8193575311200596
0.46,36.79578796086634,62.088384431560314,0.0,0.4494815514176878
0.47000000000000003,36.686799200480785,62.16550163316369,0.0,0.7381217160556884
0.48,36.66191125183922,62.385899531804114,0.0,0.45684718289962606
0.49,36.55877276031589,62.47436809590795,0.0,0.6743417521442813
0.5,36.52049170306453,62.67321597131589,0.0,0.4634527771385636
0.51,36.42111637360137,62.76892478472907,0.0,0.6238718221327061
0.52,36.371671531194494,62.94946962834511,0.0,0.46761137111623624
0.53,36.274444819610686,63.049193388559544,0.0,0.5835402846076031
0.54,36.21557109627152,63.213919602912966,0.0,0.4690001093931169
0.55,36.119246493075536,63.31512275973131,0.0,0.5509542517919903
0.56,36.05229649479015,63.46592570106571,0.0,0.4678998226149614
0.5700000000000001,35.955914165156656,63.566610426725916,0.0,0.5243358231530397
0.58,35.88194496466231,63.70493111855553,0.0,0.46482221888238245
0.59,35.7847684522866,63.803519446592,0.0,0.5023856666041843
0.6,35.70460874917998,63.93044916835934,0.0,0.46033581392413786
0.61,35.606075712586964,64.0256916011104,0.0,0.4841712030389432
0.62,35.520377730051024,64.1420530018631,0.0,0.4549891026052818
0.63,35.42006144269925,64.23295748639183,0.0,0.46903685144405727
0.64,35.3293408505354,64.3393673163631,0.0,0.44928017518140323
0.65,35.22692001964349,64.42514395736261,0.0,0.45653344127094286
0.66,35.13158675437192,64.52206169593596,0.0,0.44364748446121555
0.67,35.02682221914666,64.60208007754363,0.0,0.44636277036561206
0.68,34.92720477560857,64.6898461304561,0.0,0.4384689464235766
0.6900000000000001,34.819921931493965,64.76360278884297,0.0,0.4383333400877035
0.7000000000000001,34.71628658960668,64.84246857509525,0.0,0.43406384970130685
0.71,34.606361813933084,64.90956188902767,0.0,0.4323255642757025
0.72,34.49892723857327,64.97971292369728,0.0,0.43069593252216465
0.73,34.38627679771588,65.039823123993,0.0,0.4282654166579922
0.74,34.27522478813065,65.10139639421178,0.0,0.4285764060743997
0.75,34.159795843584035,65.15426970700338,0.0,0.42610415727355144
0.76,34.04527956473089,65.20736707924415,0.0,0.42786592922158867
0.77,33.92704332186457,65.25280358082071,0.0,0.4258022904985981
0.78,33.80919393334507,65.29750247120865,0.0,0.4286760236120778
0.79,33.68814056385163,65.33534692509261,0.0,0.4273175514821583
0.8,33.56707252053556,65.37170875309414,0.0,0.43107108324194116
0.81,33.44320728488775,65.40184357705849,0.0,0.43059698318956546
0.8200000000000001,33.31902243606768,65.42992032127724,0.0,0.4350715643507278
0.8300000000000001,33.19236262338798,65.45226008630516,0.0,0.435572622146961
0.84,33.06515333197081,65.47209931342786,0.0,0.4406583779603594
0.85,32.93572583360049,65.48658642440135,0.0,0.4421600779715698
0.86,32.80557735809832,65.49823515062941,0.0,0.4477782970910949
0.87,32.67341676076103,65.50483646599154,0.0,0.4502593121852424
0.88,32.54040908870067,65.50834413049634,0.0,0.45635006383393184
0.89,32.40555618685161,65.50704832110657,0.0,0.4597569396837677
0.9,32.26976545246862,65.50246907529387,0.0,0.46627076990158667
0.91,32.13226609155709,65.49328455744224,0.0,0.4705294022507091
0.92,31.993765674018924,65.480679021567,0.0,0.47742206257030034
0.93,31.853669851335617,65.46363233148628,0.0,0.48244645890501064
0.9400000000000001,31.71253122337645,65.44306893156518,0.0,0.48967581426767387
0.9500000000000001,31.569892383615752,65.41820343265833,0.0,0.4953745889376032
