Time,k=0.01,k=0.1,k=1,k=10,k=20,k=30,k=5
0.01,230.3331455638292,230.3331455638292,230.3331455638292,230.3331455638292,230.3331455638292,230.3331455638292,230.3331455638292
0.02,230.2151870349056,229.2673197704733,219.79141328703113,125.40026477617012,39.59065068075753,93.07747931782887,177.73363347054106
0.03,230.09721648327957,228.20650407275627,209.75488508157872,70.55883704653633,18.22325918668224,55.494059778386855,137.6899214668501
0.04,229.9792387543336,227.15074420663103,200.19877370001956,41.915768732494406,13.804314990388884,40.94956141341543,107.11234616634444
0.05,229.86125868613317,226.10007707983112,191.09476715066907,26.7437078011227,11.942027244093218,35.69594933765042,83.70300301013876
0.06,229.74328110869772,225.05452863012573,182.42171682728488,19.359568932585873,10.625484321961114,30.407895917068384,65.75022377033257
0.07,229.6253108434034,224.01411462010623,174.16160830481235,15.79387824810036,9.513739460876607,27.233672089162784,51.98747815721425
0.08,229.5073527025246,222.97884257051612,166.29330192325062,13.82192583922864,8.549635484031125,23.601949328598415,41.557569769872075
0.09,229.3894114889227,221.94871297601472,158.7973837295798,12.55850236962266,7.70411151602408,21.05473237836591,33.73949159133359
0.1,229.27149199588936,220.92371905669916,151.6555586214107,11.641178749894454,6.957894360288533,18.30126953191978,27.76975192757388
0.11,229.15359900715728,219.90384566920497,144.85050438343453,10.90672337036646,6.295996541446649,16.289706885688172,23.27331239314189
0.12,229.0357372970896,218.88906871299105,138.36579201450894,10.277601514682685,5.706633918940322,14.169786256404864,20.107878080014807
0.13,228.91791163106333,217.8793560874997,132.18584362331532,9.716068000484784,5.180273147190134,12.595075137925752,17.82033110179067
0.14,228.800126766065,216.8746703281819,126.29602674770943,9.20318394541078,4.709080294264311,10.96078529182522,16.1380726716689
0.15,228.68238745151737,215.8749721224264,120.68292885357168,8.728854083096342,4.286513431818385,9.735006014496754,14.877347087495052
0.16,228.56469843036064,214.88022347912735,115.33360164439904,8.287157849475053,3.9070392810476777,8.473488018053665,13.905439756272369
0.17,228.44706444041464,213.8903895346922,110.23476255537474,7.874200449790009,3.565925742153558,7.529262130572159,13.132400798727137
0.18,228.32949021605057,212.90543863871093,105.37430405282215,7.487127426520727,3.2590885489134225,6.548163269047174,12.498506761213363
0.19,228.2119804902061,211.9253411176199,100.7407791263479,7.123666306860601,2.982975225265493,5.833567715549104,11.963939974428854
0.2,228.09453999678016,210.95006761298853,96.32254455285526,6.7819061079408085,2.734475732774319,5.059395588108355,11.501732611842057
0.21,227.97717347344997,209.97958794417525,92.10973087517566,6.460185168841278,2.510852358739,4.527870348945641,11.093272723366107
0.22,227.8598856649524,209.01387109643713,88.09302694144178,6.157029422714217,2.309683704760975,3.9094603255059206,10.725494660190746
0.23,227.7426813268835,208.05288640125312,84.2633117755159,5.8711150682561035,2.12881913851987,3.5227880530432127,10.389104630904818
0.24,227.6255652300676,207.09660550571328,80.61188611736699,5.601243747703701,1.9663411297092843,3.0234881300891825,10.077429138057672
0.25,227.5085421655568,206.14500447738575,77.1305010085998,5.346324653356059,1.8205336313992464,2.751619340684004,9.785641644658382
0.26,227.3916169503246,205.19806536151884,73.81135147532036,5.105360829854853,1.6898551967305449,2.354929963672642,9.510227140636225
0.27,227.27479443372397,204.2557765610627,70.64707164127361,4.877438243076851,1.5729159007997149,2.163395421021418,9.248603955771948
0.28,227.15807950478288,203.3181313158807,67.63073514341883,4.661716802137547,1.4684574125348175,1.8537960915411027,8.99885431162529
