Time,Position X,Position Y,Position Z,Synchronization Error Norm
0.01,-18.0,32.0,0.0,378.03956407661553
0.02,14.606700424768334,12.867765592677232,0.0,220.86098211396472
0.03,33.77336517154907,1.890092748076353,0.0,133.15077952037657
0.04,45.37171218592025,-4.653090116234882,0.0,83.41002291692104
0.05,52.65470218236691,-8.722172433453604,0.0,54.6133003844912
0.06,57.434939231510285,-11.366624601706942,0.0,37.502175596100756
0.07,60.73083954340615,-13.15920313796617,0.0,27.008494715666824
0.08,63.121175925514436,-14.420043593342896,0.0,20.334612025469507
0.09,64.93983169479544,-15.33339654564546,0.0,15.919137706486953
0.1,66.38312239908797,-16.009048531489064,0.0,12.877746149159936
0.11,67.56922318575884,-16.515026056199048,0.0,10.699994624071161
0.12,68.57129421742732,-16.895268909606305,0.0,9.084376386897087
0.13,69.43610579326091,-17.179360438060666,0.0,7.848017263594986
0.14,70.1946265549026,-17.388009935676678,0.0,6.876728129841202
0.15,70.86812583856876,-17.536228637852563,0.0,6.096985925019059
0.16,71.47174980699599,-17.635229255511966,0.0,5.459942583183285
0.17,72.01665905703022,-17.693602199398306,0.0,4.932117386759723
0.18,72.51133589529556,-17.718070318341823,0.0,4.489861281448029
0.19,72.96240449635286,-17.713990165773122,0.0,4.115987776313294
0.2,73.37515981913606,-17.685695630499385,0.0,3.797672677665673
0.21,73.75391859576342,-17.636740173143977,0.0,3.525112701718242
0.22,74.10225900190186,-17.5700717261497,0.0,3.290648247403941
0.23,74.42318889192956,-17.488161566973837,0.0,3.088176719737514
0.24,74.71926697861716,-17.393100932080664,0.0,2.912751962834866
0.25,74.99269219945094,-17.286674535168245,0.0,2.760305524958733
0.26,75.24537102786867,-17.170417251271104,0.0,2.6274492406688035
0.27,75.47896913004459,-17.045658342802994,0.0,2.511332980643094
0.28,75.69495166734416,-16.913556343966636,0.0,2.4095403200596834
0.29,75.89461520069636,-16.77512685803675,0.0,2.320010540868343
0.3,76.0791132736397,-16.63126492024614,0.0,2.2409790875343796
0.31,76.24947716227435,-16.48276315181502,0.0,2.1709310777499518
0.32,76.40663287807054,-16.33032662322287,0.0,2.108564162848601
0.33,76.55141522897675,-16.17458512100532,0.0,2.0527581989586188
0.34,76.68457954505831,-16.016103347797237,0.0,2.0025499936990045
0.35000000000000003,76.80681153103345,-15.855389463272079,0.0,1.9571119430024715
0.36,76.91873560259432,-15.692902282329126,0.0,1.91573374365249
0.37,77.02092198499287,-15.529057378057376,0.0,1.877806613290957
0.38,77.1138927933558,-15.364232284725304,0.0,1.8428096102217508
0.39,77.19812726926482,-15.198770956028588,0.0,1.8102977486910743
0.4,77.27406631357334,-15.032987602964324,0.0,1.7798916716050541
0.41000000000000003,77.34211642858543,-14.867170011715896,0.0,1.7512686857042237
0.42,77.4026531616822,-14.701582423153997,0.0,1.7241549932538665
0.43,77.45602412585734,-14.536468040747833,0.0,1.6983189751721839
0.44,77.50255165938577,-14.372051221913244,0.0,1.6735653967475919
0.45,77.54253517623417,-14.208539398410089,0.0,1.6497304207112113
0.46,77.57625325025214,-14.046124763817915,0.0,1.626677324503006
0.47000000000000003,77.6039654692215,-13.884985759970945,0.0,1.6042928296103856
0.48,77.62591408915306,-13.7252883892179,0.0,1.5824839610707777
0.49,77.64232551454738,-13.567187375256303,0.0,1.5611753646707407
0.5,77.65341162647769,-13.410827191894455,0.0,1.540307018038676
0.51,77.65937097715126,-13.25634297627624,0.0,1.5198322797003165
0.52,77.66038986693668,-13.103861340754172,0.0,1.499716227241403
0.53,77.65664331761056,-12.953501095627113,0.0,1.4799342420125825
0.54,77.64829595369855,-12.805373893301491,0.0,1.4604708033474545
0.55,77.63550280220132,-12.659584803032878,0.0,1.4413184600926616
0.56,77.61841001965438,-12.516232824213326,0.0,1.4224769514210862
0.5700000000000001,77.5971555543321,-12.375411345151981,0.0,1.4039524524755724
0.58,77.57186975043795,-12.237208553421846,0.0,1.3857569234259473
0.59,77.5426759002988,-12.101707803089427,0.0,1.3679075430655325
0.6,77.50969074987772,-11.968987943487448,0.0,1.3504262101627063
0.61,77.47302496231347,-11.839123613622371,0.0,1.3333390974577397
0.62,77.43278354366056,-11.712185505825849,0.0,1.3166762445163032
0.63,77.38906623450818,-11.58824060187049,0.0,1.3004711767486299
0.64,77.34196787066765,-11.467352384488661,0.0,1.284760538998191
0.65,77.29157871561372,-11.349581027064055,0.0,1.2695837334902111
0.66,77.23798476685538,-11.234983564184699,0.0,1.2549825538352435
0.67,77.18126803796224,-11.123614045677087,0.0,1.2410008091582803
0.68,77.12150681769961,-11.015523676557281,0.0,1.227683934762301
0.6900000000000001,77.05877590775637,-10.910760944899396,0.0,1.2150785871670222
0.7000000000000001,76.99314684094206,-10.809371738873248,0.0,1.2032322211423854
0.71,76.92468808237099,-10.711399453243986,0.0,1.192192644566308
0.72,76.8534652167452,-10.616885084751972,0.0,1.1820075449315892
0.73,76.77954112499275,-10.525867315395134,0.0,1.1727239813124877
0.74,76.70297615292137,-10.438382583009943,0.0,1.1643878393815186
0.75,76.62382827322202,-10.354465139672538,0.0,1.157043254607244
0.76,76.54215324050011,-10.274147099919464,0.0,1.150732017752566
0.77,76.45800473765287,-10.197458481987242,0.0,1.145492983688204
0.78,76.37143451140054,-10.124427245636278,0.0,1.141361506600303
0.79,76.28249249530776,-10.055079329468075,0.0,1.1383689215890929
0.8,76.19122691992547,-9.989438689234857,0.0,1.1365420865811946
0.81,76.09768441116849,-9.927527337052503,0.0,1.1359029925892843
0.8200000000000001,76.00191007913737,-9.869365380241918,0.0,1.1364684469299833
0.8300000000000001,75.90394759996562,-9.814971058067279,0.0,1.1382498333898576
0.84,75.80383929294567,-9.764360774892461,0.0,1.1412529541688547
0.85,75.70162619443254,-9.717549128963611,0.0,1.1454779588591222
0.86,75.59734812919267,-9.674548936795127,0.0,1.15091936446462
0.87,75.49104377922556,-9.635371253721406,0.0,1.1575661673571012
0.88,75.38275074974574,-9.600025391465966,0.0,1.1654020437903831
0.89,75.27250563194804,-9.568518933599057,0.0,1.174405631193313
0.9,75.1603440622879,-9.540857749604456,0.0,1.1845508787893178
0.91,75.0463007781838,-9.517046008064002,0.0,1.1958074536240322
0.92,74.93040967021057,-9.497086189272196,0.0,1.208141186898254
0.93,74.81270383096529,-9.480979097449737,0.0,1.2215145454525642
0.9400000000000001,74.69321560084482,-9.468723872639238,0.0,1.2358871140719558
0.9500000000000001,74.57197661098796,-9.460318002326328,0.0,1.2512160757132043
0.96,74.44901782362328,-9.455757332817859,0.0,1.2674566785785772
0.97,74.32436957003918,-9.455036080411615,0.0,1.2845626809825235
0.98,74.19806158636548,-9.458146842399076,0.0,1.3024867670331792
0.99,74.07012304733121,-9.465080607949258,0.0,1.3211809281619245
1.0,73.94058259814172,-9.475826768925717,0.0,1.3405968073879635
1.01,73.80946838460214,-9.490373130690024,0.0,1.3606860048449314
1.02,73.67680808159994,-9.508705922944035,0.0,1.3814003444772776
1.03,73.54262892004878,-9.530809810660958,0.0,1.4026921029288764
1.04,73.40695771238694,-9.556667905151743,0.0,1.4245142024965485
1.05,73.2698208767158,-9.586261775309664,0.0,1.4468203706266383
1.06,73.13124445965737,-9.61957145907202,0.0,1.4695652688232157
1.07,72.99125415800401,-9.656575475133938,0.0,1.49270459404461
1.08,72.84987533922835,-9.69725083494558,0.0,1.5161951557264408
1.09,72.7071330609165,-9.741573055020506,0.0,1.5399949315172976
1.1,72.56305208918363,-9.78951616957972,0.0,1.5640631046787608
1.11,72.41765691612636,-9.841052743553035,0.0,1.5883600859104159
1.12,72.27097177636287,-9.89615388595704,0.0,1.6128475221348222
1.1300000000000001,72.12302066270705,-9.954789263666905,0.0,1.637488294533378
1.1400000000000001,71.97382734101949,-10.016927115597907,0.0,1.6622465078755775
1.1500000000000001,71.82341536427366,-10.08253426731137,0.0,1.6870874729373322
1.16,71.67180808587193,-10.151576146059055,0.0,1.71197768356709
1.17,71.5190286722424,-10.22401679627908,0.0,1.7368847897334183
1.18,71.3651001147445,-10.299818895555424,0.0,1.7617775676773864
1.19,71.2100452409093,-10.378943771051292,0.0,1.786625888100144
1.2,71.05388672503939,-10.461351416424082,0.0,1.8114006831428708
