Time,Position X,Position Y
0.001,-10.0,-10.0
0.002,-9.454,-9.095025773880714
0.003,-8.927012000000001,-8.214646613037544
0.004,-8.418302862,-7.358159035641399
0.005,-7.927166373696001,-6.524880490283744
0.006,-7.452922294552263,-5.714148713879803
0.007,-6.994915434874312,-4.925321109688458
0.008,-6.552514766760136,-4.157774144811712
0.009,-6.125112565844753,-3.4109027665567653
0.01,-5.712123582789723,-2.6841198370632995
0.011,-5.312984243504394,-1.97685558561749
0.012,-4.927151877119743,-1.288557078092626
0.013,-4.554103970768595,-0.6186877029739906
0.014,-4.19333745025779,0.0332733265571693
0.015,-3.844367985748696,0.6678314549890433
0.016,-3.5067293215921604,1.2854772517863768
0.017,-3.179972629492787,1.886686864115986
0.018,-2.863665884205189,2.471922455452242
0.019,-2.5573932609917813,3.0416326305093966
0.02,-2.260754554097622,3.5962528469334307
0.021,-1.9733646155229456,4.136205814172349
0.022,-1.6948528133983007,4.661901879930522
0.023,-1.4248625092906697,5.173739404599781
0.024,-1.1630505537916365,5.672105124047464
0.025,-0.9090867997605956,6.157374501129529
0.026,-0.6626536326171836,6.62991206628513
0.027,-0.4234455170976133,7.090071747557707
0.028,-0.1911685599093809,7.538197190376656
0.029,0.0344599122620336,7.974622067423017
0.03,0.2537117599223559,8.399670378892312
0.031,0.4668484236235974,8.813656743457697
0.032,0.6741213029977436,9.216886680226947
0.033,0.8757721224450631,9.60965688197742
0.034,1.0720332839369042,9.99225547994413
0.035,1.2631282073772434,10.36496230042728
0.036,1.449271658952166,10.728049113477104
0.037,1.6306700678818875,11.0817798739057
0.038,1.807521831975832,11.42641095486754
0.039,1.9800176123776767,11.762191374242652
0.04,2.14834061787411,12.089363014049075
0.041,2.312666879128336,12.40816083310385
0.042,2.473165513187074,12.718813073144972
0.043,2.6299989785979228,13.021541458619849
0.044,2.7833233214624804,13.316561390339317
0.045,2.933288412739537,13.604082133189948
0.046,3.0800381771019163,13.884306998091184
0.047,3.22371081364021,14.15743351837795
0.048,3.364439008696626,14.423653620783629
0.049,3.502350141102508,14.68315379119272
0.05,3.637566480083743,14.936115235327106
0.051,3.770205376089231,15.182714034524649
0.052,3.900379444788889,15.423121296763766
0.053,4.028196744479208,15.657503303082803
0.054,4.153760947126244,15.886021649538224
0.055,4.277171503268078,16.10883338484108
0.056,4.398523800991113,16.326091143806835
0.057,4.5179093191873125,16.537943276749264
0.058,4.635415775292307,16.744533974945018
0.059,4.751127267697489,16.946003392291445
0.06,4.865124413022568,17.142487763276332
0.061,4.977484478428647,17.33411951737449
0.062,5.088281509145718,17.52102738998244
0.063,5.197586451382484,17.703336529998964
0.064,5.305467270780628,17.881168604155796
0.065,5.411989066570111,18.054641898199502
0.066,5.517214181576636,18.223871415022348
0.067,5.62120230822726,18.388968969836863
0.068,5.7240105906950856,18.550043282485824
0.069,5.825693723319086,18.70720006697644
0.07,5.92630404543046,18.86054211832478
0.071,6.025891632712355,19.010169396793668
0.072,6.124504385215415,19.156179109604725
0.073,6.222188112147399,19.298665790202644
0.074,6.318986613551003,19.437721375147323
0.075,6.414941758980088,19.573435278707063
0.076,6.510093563280704,19.70589446522381
0.077,6.604480259579588,19.835183519319084
0.078,6.698138369579301,19.961384714007128
0.079,6.791102771255698,20.0845780767797
0.08,6.883406764050111,20.20484145372489
0.081,6.975082131645428,20.322250571740405
0.082,7.066159202412148,20.436879098899823
0.083,7.156666907607501,20.54879870302853
0.084,7.246632837407834,20.65807910854416
0.085,7.336083294851671,20.764788151614844
0.086,7.425043347768167,20.86899183368664
0.087,7.5135368787630545,20.970754373430072
0.088,7.601586633331708,21.07013825715417
0.089,7.689214266166467,21.16720428773465
0.09,7.776440385723066,21.262011632101743
0.091,7.863284597108725,21.354617867331484
0.092,7.949765543352282,21.445079025383
0.093,8.035900945114623,21.53344963652309
