Position X,Position Y
-15.0,30.0
-13.605,29.619615242270665
-12.309675,29.261399722427797
-11.106058875,28.923855218958124
-9.98680108875,28.60558404531833
-8.945120383237501,28.305282470055232
-7.974761895242531,28.0217345579973
-7.069957448834042,27.75380640596981
-6.22538879097728,27.50044074815748
-5.436153554389127,27.260651907802558
-4.6977337475133325,27.03352107339039
-4.00596658607972,26.81819187884421
-3.357017494243454,26.613866268534316
-2.7473551158492144,26.41980062910808
-2.1737281880019905,26.235302171273183
-1.6331441399172255,26.05972554572062
-1.1228492900296134,25.89246967836265
-0.6403105236188004,25.732974810987
-0.1831983418144487,25.580719734296856
0.2506288191785732,25.435219201120315
0.6631390923962249,25.29602150833605
1.0561405948743483,25.16270623677782
1.4312938333922527,25.034882139051508
1.790123175845075,24.912185165828056
2.134027457421321,24.794276621765867
2.4642897856923938,24.680841442770348
2.782086604020657,24.571586586817578
3.088496068334826,24.466239531056555
3.3845057882813707,24.36454686836161
3.671019980015081,24.26627299693548
3.9488660744195623,24.17119889696584
4.218800821329396,24.079120988715665
4.481515927341552,23.98985006678162
4.737643262037367,23.90321030558724
4.987759664872113,23.81903833148878
5.232391382612209,23.73718235716441
5.472018164996888,23.65750137423113
5.7070770442589165,23.57986440029128
5.937965822246123,23.50414977685158
6.16504628713114,23.430244514783883
6.388647180070779,23.358043684208862
6.609066930669598,23.287449845883053
6.826576178705648,23.21837252135586
7.041420098282311,23.150727699338457
7.25382053937078,23.084437375890086
7.463978000596529,23.01942912618132
7.672073446093343,22.9556357057378
7.878269978294424,22.89299467920305
8.08271437764608,22.831448074785637
8.285538519410492,22.770942062674514
8.48686067696536,22.711426655817608
8.686786720305273,22.65285543156281
8.885411217798564,22.595185272758208
9.082818448650288,22.538376126999754
9.27908333296328,22.482390782800177
9.474272285771889,22.427194661533186
9.668444000943753,22.372755624082096
9.861650170401225,22.31904379119228
10.053936143703138,22.26603137659277
10.245341532647029,22.213692532013862
10.435900765199664,22.162003203285355
10.625643592737555,22.110940996753964
10.814595554277057,22.060485055309023
11.002778401094217,22.010615943352843
11.19021048487578,21.961315540096283
11.376907112303186,21.91256694060155
11.56288086874987,21.864354364032792
11.74814191356697,21.81666306861139
11.93269824924286,21.76947927280655
12.11655596654624,21.72279008232351
12.29971946760014,21.67658342248123
12.482191668683871,21.630847975599025
12.663974184420988,21.58557312303749
12.84506749488277,21.54074889156315
13.025471097017869,21.49636590372883
13.205183641708787,21.4524153319828
13.384203057654336,21.408888856239443
13.562526663183146,21.365778624662493
13.740151267016628,21.32307721742912
13.917073258919356,21.28077761325908
14.09328869110086,21.23887315850817
14.268793351164144,21.197357538639103
14.443582827333111,21.156224751895923
14.617652566632485,21.115469085020333
14.790997926639903,21.07508509085948
14.963614221380018,21.03506756772545
15.13549676188434,20.995411540376413
15.306640891898189,20.956112242498747
15.477042019176858,20.917165100577808
15.646695642776908,20.878565719053142
15.815597376715209,20.84030986666136
15.983742970337529,20.802393463876665
16.1511283257101,20.76481257136576
16.317749512321438,20.727563379379557
16.483602779357582,20.690642198009893
16.648684565791733,20.654045448244684
16.812991508508727,20.61776965375961
16.976520448666047,20.58181143338917
17.139268436475607,20.54616749422397
17.301232734574654,20.510834625285067
17.462410820139393,20.47580969172984
17.622800385881444,20.441089629547204
17.7823993400548,20.406671440703175
17.941205805589505,20.372552188700592
18.09921811845783,20.338728994519624
18.256434825369,20.305199032908227
18.41285468087971,20.271959528993897
18.568476643999613,20.23900775519037
18.72329987436329,20.206341028374972
18.877323728033662,20.173956707313955
19.03054775299529,20.141852190315216
19.18297168439038,20.110024913089152
19.33459543954511,20.078472346799995
19.485419112828914,20.047191996291332
19.63544297038512,20.016181398470845
19.784667444767265,19.98543812084037
19.933093129511683,19.954959760158697
20.08072077367374,19.9247439412252
20.22755127635185,19.894788315773784
20.373585681220817,19.86509056146702
20.51882517109339,19.83564838098157
20.66327106252662,19.80645950117647
20.806924800487565,19.777521672336597
20.94978795309096,19.74883266748442
21.09186220641972,19.720390281753517
21.233149359437597,19.69219233181793
21.373651319001954,19.664236655372164
21.51337009498325,19.636521110656663
21.652307795496736,19.609043576024472
21.79046662225077,19.581801949544865
21.92784886601541,19.554794148640227
22.06445690221377,19.5280181097528
22.200293186638277,19.50147178803815
22.335360251292887,19.475153157082588
22.469660700362184,19.449060208641896
22.603197206307264,19.423190952399136
22.735972506088277,19.39754341573933
22.86798939751276,19.372115643539203
22.999250735708813,19.34690569797016
23.12975942972152,19.32191165831303
23.259518439231137,19.29713162078314
23.388530771391014,19.272563698364426
23.51679947778315,19.248206020651462
23.64432765148907,19.22405673369851
23.77111842427371,19.200113999874404
23.897174963879568,19.17637599772278
24.022500471428668,19.152840921826694
24.147098178929458,19.12950698267713
24.27097134688597,19.106372406544672
24.39412326200636,19.083435435354072
24.516557235008023,19.060694326561038
24.6382765985164,19.03814735303098
24.759284705054608,19.015792802919403
24.87958492512105,18.99362897955355
24.99918064535221,18.97165420131512
25.118075266767736,18.949866801523868
25.236272203095105,18.92826512832179
25.35377487917111,18.906847544557905
25.47058672941745,18.88561242767333
25.58671119638781,18.864558169586708
25.70215172938379,18.84368317657979
25.816911783137183,18.822985869183142
25.930994816556076,18.80246468206196
26.04440429153237,18.782118063901883
26.15714367180836,18.76194447729491
26.269216421900023,18.74194239862525
26.38062600607482,18.722110317955213
26.491375887381817,18.702446738911146
26.601469526732,18.68295017856936
26.710910382026736,18.66361916734211
26.8197019073324,18.644452248863697
26.927847552099237,18.62544797987661
27.035350760422563,18.606604930117847
27.1422149703446,18.58792168220537
27.248443613195064,18.56939683152479
27.354040112968946,18.55102898611631
27.459007885739805,18.532816766561886
27.56335033910702,18.514758805872763
27.667070871675502,18.496853749377355
27.7701728725664,18.479100254609516
27.87265972095739,18.46149699119724
27.97453478565129,18.444042640751864
28.075801424671543,18.426735896757755
28.176462984883507,18.40957546446255
28.276522801640198,18.392560060767966
28.375984198451444,18.375688414121274
28.474850486675336,18.358959264407343
28.573124965230814,18.342371362841444
28.670810920330556,18.325923471862676
28.767911625232955,18.3096143650282
28.864430340012557,18.293442826908187
28.96037031134773,18.27740765298158
29.055734772325,18.26150764953262
29.150526942258992,18.24574163354824
29.24475002652741,18.23010843261627
29.338407216420112,18.214606884824537
29.43150168900169,18.19923583866081
29.5240366069868,18.183994152913687
29.61601511862761,18.16888069657429
29.707440357612743,18.153894348739016
29.79831544297707,18.13903399851306
29.88864347902184,18.124298544915007
29.978427555244554,18.10968689678228
30.067670746278072,18.09519797267756
30.156376111838465,18.08083070079616
30.244546696681105,18.06658401887435
30.33218553056457,18.05245687409864
30.41929562822192,18.038448223016005
30.505879989338897,18.0245570314451
30.59194159853873,18.01078227438839
30.677483425373087,17.997122935945274
30.76250842431883,17.98357800922613
30.847019534780333,17.970146496267315
30.931019681096867,17.956827407947127
31.014511772554886,17.943619763902678
31.09749870340486,17.93052259244772
31.17998335288236,17.91753493049138
31.261968585233166,17.904655823457848
31.34345724974216,17.891884325206924
31.424452180765652,17.87921949795552
31.50495619776709,17.866660412200034
31.58497210535574,17.854206146639605
31.66450269332832,17.841855788100265
31.743550736713225,17.829608431459942
31.822118995817288,17.81746317957434
31.9002102162748,17.805419143203647
31.977827129098696,17.7934754409401
32.0549724507337,17.781631199136363
32.131648883111325,17.769885551834744
32.207859113706526,17.758237640697182
32.28360581559592,17.746686614936074
32.35889164751744,17.73523163124586
32.433719253931265,17.723871853735382
32.50809126508197,17.712606453861014
32.582010297061736,17.701434610360547
32.65547895187453,17.690355509187807
32.7284998175012,17.679368343447994
32.801075467965354,17.668472313333766
32.8732084633999,17.657666626062003
32.944901350114264,17.64695049581128
33.01615666066216,17.63632314366002
33.086976913909794,17.625783797525344
33.1573646151045,17.61533169210253
33.227322255943726,17.60496606880519
33.296852314644326,17.594686175706045
33.36595725601203,17.584491267478345
33.43463953151114,17.574380605337918
33.50290157933433,17.564353456985813
33.57074582447253,17.554409096551563
33.63817467878489,17.54454680453702
33.70519054106865,17.534765867760782
